m_no,goodsno,point,regdt,pet_age,dogname
67624,26305,4.0,2015-06-08 13:43:30.000,8.0,말티즈
680279,32669,5.0,2017-03-18 13:14:02.000,2.0,포메라니안
834555,17462,5.0,2018-07-01 16:53:06.000,2.0,말티즈
1022314,25417,4.0,2021-02-21 22:43:42.000,8.0,시바 이누
312848,18996,4.0,2019-04-22 19:09:19.000,12.0,푸들
225625,86553,5.0,2021-12-12 21:57:39.000,9.0,포메라니안
393869,27023,5.0,2015-07-10 10:59:04.000,1.0,치와와
90568,110,5.0,2017-02-18 21:19:17.000,16.0,미니핀
7546,1907,5.0,2016-09-29 15:40:22.000,1.0,말티즈
52858,20589,5.0,2018-05-05 11:44:17.000,10.0,사모예드
676496,11356,3.0,2017-02-16 17:19:44.000,2.0,시츄
1112278,85038,5.0,2020-11-12 21:56:09.000,3.0,기타견종 (중형견)
56268,19432,4.0,2017-03-11 00:08:23.000,8.0,푸들
305388,3728,5.0,2016-12-27 17:57:09.000,3.0,푸들
980206,10712,5.0,2019-04-16 04:06:24.000,5.0,말티즈
316509,17281,5.0,2016-01-24 02:20:30.000,14.0,시츄
523412,18412,5.0,2016-05-16 14:33:58.000,1.0,비숑 프리제
279889,17885,5.0,2015-04-14 00:12:56.000,3.0,말티즈
205922,19184,3.0,2016-02-01 16:46:32.000,5.0,말티즈
511256,17551,5.0,2018-10-14 21:57:34.000,15.0,푸들
289695,9885,4.0,2015-11-27 21:37:04.000,2.0,푸들
483953,85009,4.0,2017-08-07 22:57:29.000,2.0,슈나우져(스탠다드)
661844,198,3.0,2017-11-15 14:09:46.000,2.0,포메라니안
865515,15232,5.0,2018-04-02 23:24:25.000,2.0,토이 푸들
348725,18004,3.0,2018-12-26 22:47:50.000,6.0,말티즈
829689,13530,5.0,2017-12-19 19:12:29.000,1.0,비숑 프리제
107868,19447,5.0,2016-05-13 18:40:59.000,4.0,말티즈
479861,15372,5.0,2016-04-06 09:41:52.000,2.0,비숑 프리제
673754,53922,5.0,2018-07-31 22:30:22.000,3.0,말티즈
298573,25703,5.0,2018-08-04 01:07:20.000,2.0,견종모름 (중형견)
167356,2634,5.0,2018-12-16 12:11:35.000,9.0,포메라니안
534491,81524,4.0,2021-10-27 20:37:41.000,7.0,말티즈
